env,site,year,gen,yield_mean,n_reps
Assosa 2018,Assosa,2018,100077,248.555,2
Assosa 2018,Assosa,2018,100094,784.375,2
Assosa 2018,Assosa,2018,203252,486.265,2
Assosa 2018,Assosa,2018,203263,887.5899999999999,2
Assosa 2018,Assosa,2018,203264,529.225,2
Assosa 2018,Assosa,2018,203266,764.365,2
Assosa 2018,Assosa,2018,203273,649.605,2
Assosa 2018,Assosa,2018,203279,684.39,2
Assosa 2018,Assosa,2018,203325,957.9000000000001,2
Assosa 2018,Assosa,2018,203335,658.025,2
Assosa 2018,Assosa,2018,203343,520.405,2
Assosa 2018,Assosa,2018,203347,967.4399999999999,2
Assosa 2018,Assosa,2018,203356,802.225,2
Assosa 2018,Assosa,2018,203364,868.915,2
Assosa 2018,Assosa,2018,203371,431.66499999999996,2
Assosa 2018,Assosa,2018,203429,644.04,2
Assosa 2018,Assosa,2018,203439,926.155,2
Assosa 2018,Assosa,2018,203449,357.325,2
Assosa 2018,Assosa,2018,203496,843.74,2
Assosa 2018,Assosa,2018,208440,173.89,2
Assosa 2018,Assosa,2018,208725,359.2,2
Assosa 2018,Assosa,2018,213033,111.74,2
Assosa 2018,Assosa,2018,213034,179.43,2
Assosa 2018,Assosa,2018,214997,171.465,2
Assosa 2018,Assosa,2018,215826,224.125,2
Assosa 2018,Assosa,2018,215840,153.515,2
Assosa 2018,Assosa,2018,215969,226.355,2
Assosa 2018,Assosa,2018,229718,201.85000000000002,2
Assosa 2018,Assosa,2018,229734,135.975,2
Assosa 2018,Assosa,2018,229735,103.125,2
Assosa 2018,Assosa,2018,230098,338.03999999999996,2
Assosa 2018,Assosa,2018,230099,200.29000000000002,2
Assosa 2018,Assosa,2018,230102,497.66499999999996,2
Assosa 2018,Assosa,2018,230104,346.03999999999996,2
Assosa 2018,Assosa,2018,230107,423.04,2
Assosa 2018,Assosa,2018,230559,356.53,2
Assosa 2018,Assosa,2018,230706,298.05499999999995,2
Assosa 2018,Assosa,2018,230721,379.14,2
Assosa 2018,Assosa,2018,230976,251.45,2
Assosa 2018,Assosa,2018,230984,447.97499999999997,2
Assosa 2018,Assosa,2018,243629,301.005,2
Assosa 2018,Assosa,2018,245090,135.705,2
Assosa 2018,Assosa,2018,Addis-01,912.5433333333334,6
Assosa 2018,Assosa,2018,Boneya,895.0066666666667,6
Assosa 2018,Assosa,2018,Local,291.94,2
Assosa 2019,Assosa,2019,100077,701.75,3
Assosa 2019,Assosa,2019,100094,1866.25,3
Assosa 2019,Assosa,2019,203252,1227.8333333333333,3
Assosa 2019,Assosa,2019,203263,1994.0,3
Assosa 2019,Assosa,2019,203264,1837.1666666666667,3
Assosa 2019,Assosa,2019,203266,1236.9166666666667,3
Assosa 2019,Assosa,2019,203279,2057.25,3
Assosa 2019,Assosa,2019,203325,1864.6666666666667,3
Assosa 2019,Assosa,2019,203335,1362.8333333333333,3
Assosa 2019,Assosa,2019,203347,2745.75,3
Assosa 2019,Assosa,2019,203356,1359.0833333333333,3
Assosa 2019,Assosa,2019,203364,1777.0,3
Assosa 2019,Assosa,2019,203371,826.5,3
Assosa 2019,Assosa,2019,203429,786.5833333333334,3
Assosa 2019,Assosa,2019,203439,2250.3333333333335,3
Assosa 2019,Assosa,2019,203449,1167.4166666666667,3
Assosa 2019,Assosa,2019,203496,2160.9166666666665,3
Assosa 2019,Assosa,2019,230104,762.1666666666666,3
Assosa 2019,Assosa,2019,230706,887.75,3
Assosa 2019,Assosa,2019,Bako-09,2399.8333333333335,3
Assosa 2019,Assosa,2019,Local,1422.4166666666667,3
Assosa 2020,Assosa,2020,100094,1594.4166666666667,3
Assosa 2020,Assosa,2020,203263,1201.4166666666667,3
Assosa 2020,Assosa,2020,203264,1329.0,3
Assosa 2020,Assosa,2020,203279,888.8333333333334,3
Assosa 2020,Assosa,2020,203325,1452.1666666666667,3
Assosa 2020,Assosa,2020,203347,1676.0,3
Assosa 2020,Assosa,2020,203356,1411.5833333333333,3
Assosa 2020,Assosa,2020,203364,1696.5833333333333,3
Assosa 2020,Assosa,2020,203439,1841.25,3
Assosa 2020,Assosa,2020,203449,721.5,3
Assosa 2020,Assosa,2020,203496,1945.8333333333333,3
Assosa 2020,Assosa,2020,Bako-09,1845.9166666666667,3
Assosa 2020,Assosa,2020,Local,981.25,3
Assosa 2021,Assosa,2021,100094,1465.9833333333333,3
Assosa 2021,Assosa,2021,203263,1356.25,3
Assosa 2021,Assosa,2021,203264,1244.5600000000002,3
Assosa 2021,Assosa,2021,203279,1421.243333333333,3
Assosa 2021,Assosa,2021,203325,1304.2233333333334,3
Assosa 2021,Assosa,2021,203347,1511.5433333333333,3
Assosa 2021,Assosa,2021,203356,1169.5900000000001,3
Assosa 2021,Assosa,2021,203364,1373.68,3
Assosa 2021,Assosa,2021,203439,1678.756666666667,3
Assosa 2021,Assosa,2021,203449,1051.3033333333333,3
Assosa 2021,Assosa,2021,203496,1525.3533333333332,3
Assosa 2021,Assosa,2021,Bako-09,1551.5733333333335,3
Assosa 2021,Assosa,2021,local,1227.2566666666667,3
Bako 2018,Bako,2018,100077,1058.75,2
Bako 2018,Bako,2018,100094,494.375,2
Bako 2018,Bako,2018,203252,835.125,2
Bako 2018,Bako,2018,203263,1114.625,2
Bako 2018,Bako,2018,203264,1089.5,2
Bako 2018,Bako,2018,203266,815.625,2
Bako 2018,Bako,2018,203273,641.625,2
Bako 2018,Bako,2018,203279,1548.75,2
Bako 2018,Bako,2018,203325,1065.25,2
