gen,Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021
100077,248.555,701.75,,,1058.75,,
100094,784.375,1866.25,1594.4166666666667,1465.9833333333333,494.375,2665.5,347.09999999999997
203252,486.265,1227.8333333333333,,,835.125,,
203263,887.5899999999999,1994.0,1201.4166666666667,1356.25,1114.625,2280.8333333333335,430.7
203264,529.225,1837.1666666666667,1329.0,1244.5600000000002,1089.5,1411.5833333333333,497.26666666666665
203266,764.365,1236.9166666666667,,,815.625,,
203273,649.605,,,,641.625,,
203279,684.39,2057.25,888.8333333333334,1421.243333333333,1548.75,2399.0,388.56666666666666
203325,957.9000000000001,1864.6666666666667,1452.1666666666667,1304.2233333333334,1065.25,2955.6666666666665,360.23333333333335
203335,658.025,1362.8333333333333,,,1625.875,,
203343,520.405,,,,832.125,,
203347,967.4399999999999,2745.75,1676.0,1511.5433333333333,1369.625,2775.0,486.56666666666666
203356,802.225,1359.0833333333333,1411.5833333333333,1169.5900000000001,1344.875,2910.0833333333335,268.7
203364,868.915,1777.0,1696.5833333333333,1373.68,1122.5,2441.4166666666665,224.86666666666667
203371,431.66499999999996,826.5,,,1233.25,,
203429,644.04,786.5833333333334,,,1052.0,,
203439,926.155,2250.3333333333335,1841.25,1678.756666666667,967.625,3122.8333333333335,594.2333333333333
203449,357.325,1167.4166666666667,721.5,1051.3033333333333,1082.875,1228.9166666666667,281.0
203496,843.74,2160.9166666666665,1945.8333333333333,1525.3533333333332,623.75,2692.75,370.0
208440,173.89,,,,1690.125,,
208725,359.2,,,,794.0,,
213033,111.74,,,,908.0,,
213034,179.43,,,,493.125,,
214997,171.465,,,,513.25,,
215826,224.125,,,,454.375,,
215840,153.515,,,,597.375,,
215969,226.355,,,,1012.375,,
229718,201.85000000000002,,,,943.875,,
229734,135.975,,,,669.5,,
229735,103.125,,,,708.25,,
230098,338.03999999999996,,,,645.125,,
230099,200.29000000000002,,,,534.875,,
230102,497.66499999999996,,,,781.5,,
230104,346.03999999999996,762.1666666666666,,,1080.375,,
230107,423.04,,,,913.875,,
230559,356.53,,,,954.125,,
230706,298.05499999999995,887.75,,,1561.125,,
230721,379.14,,,,755.625,,
230976,251.45,,,,914.625,,
230984,447.97499999999997,,,,983.75,,
243629,301.005,,,,971.25,,
245090,135.705,,,,686.0,,
Addis-01,912.5433333333334,,,,729.4583333333334,,
Bako-09,,2399.8333333333335,1845.9166666666667,1551.5733333333335,,3797.1666666666665,259.9
Boneya,895.0066666666667,,,,974.7083333333334,,
Local,291.94,1422.4166666666667,981.25,,1355.375,2300.0833333333335,
local,,,,1227.2566666666667,,,363.8333333333333
