year,month,PRECTOTCORR,T2M,P_mm,site
1991,1,0.35,20.51,10.85,Bako
1991,2,0.48,21.64,13.44,Bako
1991,3,2.71,21.92,84.01,Bako
1991,4,2.49,22.28,74.7,Bako
1991,5,3.62,22.19,112.22,Bako
1991,6,8.6,19.39,258.0,Bako
1991,7,11.22,17.29,347.82,Bako
1991,8,11.32,17.4,350.92,Bako
1991,9,8.11,18.08,243.29999999999998,Bako
1991,10,0.91,17.93,28.21,Bako
1991,11,0.16,17.38,4.8,Bako
1991,12,0.79,17.89,24.490000000000002,Bako
1992,1,0.55,19.64,17.05,Bako
1992,2,1.87,20.2,54.230000000000004,Bako
1992,3,1.22,22.96,37.82,Bako
1992,4,4.73,22.12,141.9,Bako
1992,5,5.71,20.76,177.01,Bako
1992,6,14.01,18.31,420.3,Bako
1992,7,11.51,16.88,356.81,Bako
1992,8,17.4,16.74,539.4,Bako
1992,9,6.33,17.47,189.9,Bako
1992,10,5.63,17.83,174.53,Bako
1992,11,1.12,17.2,33.6,Bako
1992,12,0.45,18.23,13.950000000000001,Bako
1993,1,1.17,18.66,36.269999999999996,Bako
1993,2,1.34,19.62,37.52,Bako
1993,3,1.7,21.91,52.699999999999996,Bako
1993,4,5.84,20.34,175.2,Bako
1993,5,6.17,19.73,191.27,Bako
1993,6,19.56,17.83,586.8,Bako
1993,7,12.76,16.76,395.56,Bako
1993,8,15.02,17.46,465.62,Bako
1993,9,10.2,17.85,306.0,Bako
1993,10,4.33,17.98,134.23,Bako
1993,11,0.26,17.85,7.800000000000001,Bako
1993,12,0.06,17.48,1.8599999999999999,Bako
1994,1,0.01,19.14,0.31,Bako
1994,2,0.6,20.75,16.8,Bako
1994,3,1.94,22.31,60.14,Bako
1994,4,3.81,22.89,114.3,Bako
1994,5,5.76,20.46,178.56,Bako
1994,6,12.15,17.86,364.5,Bako
1994,7,14.64,16.81,453.84000000000003,Bako
1994,8,13.8,16.85,427.8,Bako
1994,9,11.55,17.73,346.5,Bako
1994,10,0.33,18.11,10.23,Bako
1994,11,0.48,17.93,14.399999999999999,Bako
1994,12,0.18,18.28,5.58,Bako
1995,1,0.01,19.75,0.31,Bako
1995,2,1.08,21.18,30.240000000000002,Bako
1995,3,1.75,22.3,54.25,Bako
1995,4,3.54,22.38,106.2,Bako
1995,5,6.18,20.74,191.57999999999998,Bako
1995,6,11.61,19.41,348.29999999999995,Bako
1995,7,10.94,17.11,339.14,Bako
1995,8,12.21,17.35,378.51000000000005,Bako
1995,9,8.13,18.26,243.90000000000003,Bako
1995,10,1.15,18.56,35.65,Bako
1995,11,0.3,17.66,9.0,Bako
1995,12,1.92,18.48,59.519999999999996,Bako
1996,1,1.96,19.18,60.76,Bako
1996,2,0.5,21.17,14.5,Bako
1996,3,3.99,21.79,123.69000000000001,Bako
1996,4,3.8,21.07,114.0,Bako
1996,5,10.11,19.42,313.40999999999997,Bako
1996,6,14.77,17.85,443.09999999999997,Bako
1996,7,19.53,16.96,605.4300000000001,Bako
1996,8,15.61,17.24,483.90999999999997,Bako
1996,9,12.34,17.83,370.2,Bako
1996,10,2.37,18.11,73.47,Bako
1996,11,1.12,17.51,33.6,Bako
1996,12,0.28,17.51,8.680000000000001,Bako
1997,1,1.08,19.35,33.480000000000004,Bako
1997,2,0.07,20.88,1.9600000000000002,Bako
1997,3,1.86,22.55,57.660000000000004,Bako
1997,4,4.98,20.64,149.4,Bako
1997,5,8.28,19.76,256.68,Bako
1997,6,13.45,18.53,403.5,Bako
1997,7,7.91,17.43,245.21,Bako
1997,8,11.74,17.74,363.94,Bako
1997,9,7.79,18.84,233.7,Bako
1997,10,6.99,18.05,216.69,Bako
1997,11,2.37,18.43,71.10000000000001,Bako
1997,12,0.32,18.7,9.92,Bako
1998,1,0.83,19.43,25.73,Bako
1998,2,0.79,20.71,22.12,Bako
1998,3,1.15,22.63,35.65,Bako
1998,4,1.38,24.35,41.4,Bako
1998,5,5.99,21.2,185.69,Bako
1998,6,9.39,18.62,281.70000000000005,Bako
1998,7,15.56,17.05,482.36,Bako
1998,8,14.01,17.33,434.31,Bako
1998,9,10.34,17.65,310.2,Bako
1998,10,9.56,17.77,296.36,Bako
1998,11,1.4,17.09,42.0,Bako
1998,12,0.02,16.44,0.62,Bako
1999,1,0.99,18.52,30.69,Bako
1999,2,0.22,20.84,6.16,Bako
1999,3,0.16,22.92,4.96,Bako
1999,4,2.4,23.3,72.0,Bako
1999,5,9.28,19.45,287.68,Bako
1999,6,9.63,18.08,288.90000000000003,Bako
1999,7,9.12,16.27,282.71999999999997,Bako
1999,8,9.63,17.13,298.53000000000003,Bako
1999,9,7.73,17.71,231.9,Bako
1999,10,8.65,17.32,268.15000000000003,Bako
1999,11,0.12,16.59,3.5999999999999996,Bako
1999,12,0.26,17.34,8.06,Bako
2000,1,0.05,18.98,1.55,Bako
2000,2,0.02,21.23,0.58,Bako
2000,3,0.43,24.2,13.33,Bako
2000,4,3.57,21.02,107.1,Bako
2000,5,5.24,20.41,162.44,Bako
2000,6,7.15,18.08,214.5,Bako
2000,7,9.25,16.89,286.75,Bako
2000,8,8.25,17.27,255.75,Bako
2000,9,7.27,17.59,218.1,Bako
2000,10,3.53,17.95,109.42999999999999,Bako
2000,11,1.1,17.54,33.0,Bako
2000,12,0.33,17.74,10.23,Bako
2001,1,0.34,18.9,10.540000000000001,Bako
