year,site,rep,col,row,plot,gen,entry_number,yield,env
2018,Assosa,R1,1,4,4,100077,4,277.98,Assosa 2018
2018,Assosa,R2,9,2,58,100077,4,219.13,Assosa 2018
2018,Assosa,R1,1,1,1,100094,1,862.25,Assosa 2018
2018,Assosa,R2,8,6,51,100094,1,706.5,Assosa 2018
2018,Assosa,R1,7,3,45,203252,45,486.88,Assosa 2018
2018,Assosa,R2,9,6,62,203252,45,485.65,Assosa 2018
2018,Assosa,R1,2,5,10,203263,10,918.65,Assosa 2018
2018,Assosa,R2,10,7,64,203263,10,856.53,Assosa 2018
2018,Assosa,R1,6,4,39,203264,39,634.1,Assosa 2018
2018,Assosa,R2,11,6,76,203264,39,424.35,Assosa 2018
2018,Assosa,R1,5,4,32,203266,32,737.73,Assosa 2018
2018,Assosa,R2,10,3,68,203266,32,791.0,Assosa 2018
2018,Assosa,R1,4,6,23,203273,23,716.43,Assosa 2018
2018,Assosa,R2,11,4,74,203273,23,582.78,Assosa 2018
2018,Assosa,R1,3,7,21,203279,21,773.55,Assosa 2018
2018,Assosa,R2,13,4,88,203279,21,595.23,Assosa 2018
2018,Assosa,R1,2,2,13,203325,13,1137.45,Assosa 2018
2018,Assosa,R2,14,6,93,203325,13,778.35,Assosa 2018
2018,Assosa,R1,6,6,37,203335,37,693.15,Assosa 2018
2018,Assosa,R2,12,5,80,203335,37,622.9,Assosa 2018
2018,Assosa,R1,6,7,36,203343,36,404.13,Assosa 2018
2018,Assosa,R2,14,5,94,203343,36,636.68,Assosa 2018
2018,Assosa,R1,4,2,27,203347,27,1044.85,Assosa 2018
2018,Assosa,R2,13,2,86,203347,27,890.03,Assosa 2018
2018,Assosa,R1,1,5,5,203356,5,895.7,Assosa 2018
2018,Assosa,R2,9,7,63,203356,5,708.75,Assosa 2018
2018,Assosa,R1,1,7,7,203364,7,847.93,Assosa 2018
2018,Assosa,R2,13,3,87,203364,7,889.9,Assosa 2018
2018,Assosa,R1,3,5,19,203371,19,526.4,Assosa 2018
2018,Assosa,R2,8,1,56,203371,19,336.93,Assosa 2018
2018,Assosa,R1,5,5,33,203429,33,658.33,Assosa 2018
2018,Assosa,R2,12,2,83,203429,33,629.75,Assosa 2018
2018,Assosa,R1,4,5,24,203439,24,828.83,Assosa 2018
2018,Assosa,R2,10,4,67,203439,24,1023.48,Assosa 2018
2018,Assosa,R1,4,4,25,203449,25,368.95,Assosa 2018
2018,Assosa,R2,10,6,65,203449,25,345.7,Assosa 2018
2018,Assosa,R1,4,7,22,203496,22,891.05,Assosa 2018
2018,Assosa,R2,12,7,78,203496,22,796.43,Assosa 2018
2018,Assosa,R1,6,5,38,208440,38,194.03,Assosa 2018
2018,Assosa,R2,14,3,96,208440,38,153.75,Assosa 2018
2018,Assosa,R1,3,3,17,208725,17,402.65,Assosa 2018
2018,Assosa,R2,8,7,50,208725,17,315.75,Assosa 2018
2018,Assosa,R1,1,2,2,213033,2,137.85,Assosa 2018
2018,Assosa,R2,11,2,72,213033,2,85.63,Assosa 2018
2018,Assosa,R1,1,6,6,213034,6,169.18,Assosa 2018
2018,Assosa,R2,10,2,69,213034,6,189.68,Assosa 2018
2018,Assosa,R1,2,7,8,214997,8,213.05,Assosa 2018
2018,Assosa,R2,9,5,61,214997,8,129.88,Assosa 2018
2018,Assosa,R1,2,6,9,215826,9,288.0,Assosa 2018
2018,Assosa,R2,12,6,79,215826,9,160.25,Assosa 2018
2018,Assosa,R1,2,4,11,215840,11,182.1,Assosa 2018
2018,Assosa,R2,12,3,82,215840,11,124.93,Assosa 2018
2018,Assosa,R1,2,1,14,215969,14,271.78,Assosa 2018
2018,Assosa,R2,13,7,91,215969,14,180.93,Assosa 2018
2018,Assosa,R1,3,1,15,229718,15,222.8,Assosa 2018
2018,Assosa,R2,13,1,85,229718,15,180.9,Assosa 2018
2018,Assosa,R1,6,2,41,229734,41,120.75,Assosa 2018
2018,Assosa,R2,13,6,90,229734,41,151.2,Assosa 2018
2018,Assosa,R1,6,1,42,229735,42,120.1,Assosa 2018
2018,Assosa,R2,11,5,75,229735,42,86.15,Assosa 2018
2018,Assosa,R1,7,1,43,230098,43,427.2,Assosa 2018
2018,Assosa,R2,10,5,66,230098,43,248.88,Assosa 2018
2018,Assosa,R1,7,2,44,230099,44,217.83,Assosa 2018
2018,Assosa,R2,8,2,55,230099,44,182.75,Assosa 2018
2018,Assosa,R1,7,4,46,230102,46,545.05,Assosa 2018
2018,Assosa,R2,11,1,71,230102,46,450.28,Assosa 2018
2018,Assosa,R1,7,5,47,230104,47,369.58,Assosa 2018
2018,Assosa,R2,14,1,98,230104,47,322.5,Assosa 2018
2018,Assosa,R1,7,6,48,230107,48,434.85,Assosa 2018
2018,Assosa,R2,13,5,89,230107,48,411.23,Assosa 2018
2018,Assosa,R1,3,6,20,230559,20,318.73,Assosa 2018
2018,Assosa,R2,9,4,60,230559,20,394.33,Assosa 2018
2018,Assosa,R1,4,3,26,230706,26,299.08,Assosa 2018
2018,Assosa,R2,14,4,95,230706,26,297.03,Assosa 2018
2018,Assosa,R1,4,1,28,230721,28,277.73,Assosa 2018
2018,Assosa,R2,8,4,53,230721,28,480.55,Assosa 2018
2018,Assosa,R1,5,2,30,230976,30,259.7,Assosa 2018
2018,Assosa,R2,9,1,57,230976,30,243.2,Assosa 2018
2018,Assosa,R1,5,3,31,230984,31,525.55,Assosa 2018
2018,Assosa,R2,8,3,54,230984,31,370.4,Assosa 2018
2018,Assosa,R1,5,6,34,243629,34,260.38,Assosa 2018
2018,Assosa,R2,9,3,59,243629,34,341.63,Assosa 2018
2018,Assosa,R1,6,3,40,245090,40,160.83,Assosa 2018
2018,Assosa,R2,11,3,73,245090,40,110.58,Assosa 2018
2018,Assosa,R1,1,3,3,Addis-01,3,1003.23,Assosa 2018
2018,Assosa,R1,3,2,16,Addis-01,16,947.55,Assosa 2018
2018,Assosa,R1,7,7,49,Addis-01,49,685.48,Assosa 2018
2018,Assosa,R2,10,1,70,Addis-01,3,612.85,Assosa 2018
2018,Assosa,R2,11,7,77,Addis-01,16,1023.5,Assosa 2018
2018,Assosa,R2,14,7,92,Addis-01,49,1202.65,Assosa 2018
2018,Assosa,R1,2,3,12,Boneya,12,1027.33,Assosa 2018
2018,Assosa,R1,3,4,18,Boneya,18,799.4,Assosa 2018
2018,Assosa,R1,5,1,29,Boneya,29,798.7,Assosa 2018
2018,Assosa,R2,8,5,52,Boneya,18,718.23,Assosa 2018
2018,Assosa,R2,12,4,81,Boneya,12,922.15,Assosa 2018
2018,Assosa,R2,14,2,97,Boneya,29,1104.23,Assosa 2018
2018,Assosa,R1,5,7,35,Local,35,279.45,Assosa 2018
2018,Assosa,R2,12,1,84,Local,35,304.43,Assosa 2018
2019,Assosa,R1,1,8,8,100077,8,599.25,Assosa 2019
2019,Assosa,R2,2,16,27,100077,8,1194.25,Assosa 2019
