PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1991,0.06,0.02,0.46,2.88,6.88,4.85,6.93,6.26,4.03,2.9,0.2,0.07,2.99
PRECTOTCORR,1992,0.06,0.21,0.28,1.24,2.58,7.83,7.61,7.54,3.88,4.67,1.02,0.11,3.1
PRECTOTCORR,1993,0.37,0.05,0.84,2.9,6.76,9.1,13.81,12.56,9.61,4.3,1.06,0.02,5.15
PRECTOTCORR,1994,0.05,0.42,0.53,2.09,5.91,5.63,11.47,10.98,7.66,4.11,0.76,0.03,4.17
PRECTOTCORR,1995,0.02,0.47,0.95,1.15,5.27,10.14,8.02,11.77,7.84,6.13,1.02,0.66,4.48
PRECTOTCORR,1996,0.45,0.56,1.86,3.48,9.02,10.75,12.8,16.39,11.95,4.05,0.49,0.11,6.01
PRECTOTCORR,1997,0.11,0.04,1.09,3.23,8.21,11.98,7.39,9.66,5.74,10.34,2.1,0.13,5.03
PRECTOTCORR,1998,0.24,0.1,0.41,1.29,3.27,11.47,12.44,8.95,7.53,7.15,0.46,0.01,4.47
PRECTOTCORR,1999,0.32,0.12,0.02,1.62,8.28,7.23,6.84,5.97,6.17,7.57,0.19,0.1,3.73
PRECTOTCORR,2000,0.05,0.22,0.3,1.41,4.86,4.42,8.94,6.64,3.51,3.05,0.42,0.02,2.84
PRECTOTCORR,2001,0.03,0.03,0.08,1.31,6.41,13.29,5.69,7.25,4.39,6.28,1.24,0.07,3.86
PRECTOTCORR,2002,0.05,0.07,0.62,1.2,2.04,4.58,4.35,4.18,3.34,4.53,0.68,0.04,2.15
PRECTOTCORR,2003,0.0,0.06,0.08,0.54,2.0,2.29,4.03,4.37,3.02,1.94,0.71,0.08,1.61
PRECTOTCORR,2004,0.02,0.09,0.17,2.19,1.34,3.05,3.46,6.05,3.52,2.22,0.33,0.05,1.88
PRECTOTCORR,2005,0.01,0.0,0.22,0.62,2.13,2.64,6.46,4.72,4.06,2.03,0.24,0.0,1.94
PRECTOTCORR,2006,0.04,0.07,0.32,0.43,3.79,3.76,7.1,4.23,4.28,5.05,0.57,0.24,2.51
PRECTOTCORR,2007,0.06,0.17,0.32,1.42,3.58,3.88,7.68,6.11,4.58,2.42,0.95,0.06,2.62
PRECTOTCORR,2008,0.24,0.02,0.22,2.1,3.11,5.3,3.65,3.71,3.25,2.98,0.63,0.09,2.11
PRECTOTCORR,2009,0.04,0.23,0.38,2.01,1.28,4.78,4.02,3.65,4.2,3.21,0.27,0.06,2.02
PRECTOTCORR,2010,0.03,0.03,0.11,0.62,3.12,4.88,3.79,3.88,4.48,3.09,0.65,0.12,2.08
PRECTOTCORR,2011,0.24,0.01,0.3,0.98,3.79,3.52,2.29,3.4,3.16,2.22,0.36,0.05,1.7
PRECTOTCORR,2012,0.02,0.0,0.24,0.48,3.12,2.38,3.86,5.88,6.71,2.14,0.86,0.1,2.16
PRECTOTCORR,2013,0.03,0.05,0.25,0.38,6.37,5.18,4.67,5.32,4.73,2.66,0.97,0.05,2.57
PRECTOTCORR,2014,0.02,0.16,0.66,4.07,5.67,5.25,8.91,7.58,9.86,9.15,0.79,0.46,4.41
PRECTOTCORR,2015,0.07,0.0,0.85,0.15,8.55,8.83,6.84,10.89,7.32,10.52,1.73,1.6,4.82
PRECTOTCORR,2016,0.0,0.0,0.81,1.7,13.0,6.93,13.07,10.69,14.42,11.49,0.03,0.01,6.05
PRECTOTCORR,2017,0.0,0.32,0.06,1.65,4.77,12.01,11.57,9.16,6.73,7.19,0.96,0.16,4.57
PRECTOTCORR,2018,0.0,0.05,0.97,0.37,7.6,5.33,7.46,6.66,4.12,7.73,0.68,0.18,3.47
PRECTOTCORR,2019,0.0,0.06,0.05,0.76,3.35,9.95,9.11,6.66,16.09,6.44,1.81,0.85,4.6
PRECTOTCORR,2020,0.01,0.02,0.46,2.62,10.01,10.32,12.59,10.35,9.97,11.19,0.66,0.58,5.76
PRECTOTCORR,2021,0.21,0.0,0.11,2.51,8.31,12.61,11.9,8.91,12.63,7.56,4.32,0.47,5.82
PRECTOTCORR,2022,0.96,0.02,0.09,2.52,4.98,11.66,10.99,8.38,9.27,7.04,0.07,0.2,4.71
PRECTOTCORR,2023,0.18,0.0,0.01,2.9,4.26,12.07,14.84,10.52,7.7,12.01,4.67,0.0,5.8
PRECTOTCORR,2024,0.08,0.22,0.44,1.96,4.06,7.89,14.2,6.74,6.55,9.47,1.33,0.05,4.44
T2M,1991,26.59,28.24,29.01,26.94,25.18,22.95,21.27,21.72,22.54,23.34,25.52,25.32,24.86
T2M,1992,25.16,26.34,29.93,28.84,26.78,23.23,21.5,21.13,22.2,22.81,23.8,24.37,24.67
T2M,1993,24.38,26.54,28.95,27.73,25.86,22.06,21.28,21.29,21.9,22.96,23.55,23.76,24.17
T2M,1994,25.59,26.71,28.73,28.47,24.86,23.08,21.06,21.3,22.34,23.09,23.07,23.64,24.31
T2M,1995,25.38,26.61,28.38,29.53,25.47,23.18,21.25,21.71,22.08,22.82,23.07,23.16,24.37
T2M,1996,23.8,27.05,28.19,27.6,24.15,22.35,21.19,21.17,21.87,22.68,22.59,23.47,23.83
T2M,1997,24.5,26.33,28.56,26.38,23.93,22.88,21.73,22.01,22.9,23.08,23.07,23.06,24.02
T2M,1998,23.54,25.21,28.92,30.83,26.93,23.81,21.19,21.4,22.34,22.66,23.62,23.57,24.49
T2M,1999,25.01,28.78,29.14,28.55,23.81,22.76,20.82,21.29,22.21,22.48,23.15,24.28,24.32
T2M,2000,25.7,27.99,29.96,27.93,25.53,24.34,21.79,21.71,22.51,22.89,24.6,25.28,25.0
T2M,2001,25.44,28.24,29.79,29.33,27.51,23.13,22.16,21.97,22.7,23.28,24.2,24.81,25.19
