PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2018,0.0,0.05,0.97,0.37,7.6,5.33,7.46,6.66,4.12,7.73,0.68,0.18,3.47
PRECTOTCORR,2019,0.0,0.06,0.05,0.76,3.35,9.95,9.11,6.66,16.09,6.44,1.81,0.85,4.6
PRECTOTCORR,2020,0.01,0.02,0.46,2.62,10.01,10.32,12.59,10.35,9.97,11.19,0.66,0.58,5.76
PRECTOTCORR,2021,0.21,0.0,0.11,2.51,8.31,12.61,11.9,8.91,12.63,7.56,4.32,0.47,5.82
RH2M,2018,46.52,32.96,25.74,36.58,68.77,80.95,85.13,84.94,79.41,79.3,67.73,56.15,62.21
RH2M,2019,35.19,26.67,20.47,32.79,60.8,83.12,85.42,86.67,86.06,85.12,78.12,69.01,62.66
RH2M,2020,48.96,37.11,22.4,40.06,74.33,83.32,88.49,89.42,86.86,80.74,74.49,63.48,65.9
RH2M,2021,51.34,36.09,31.97,35.58,70.67,79.71,89.1,86.49,86.43,80.54,72.44,63.25,65.51
T2M,2018,23.47,28.2,28.7,28.6,25.46,22.89,21.77,21.97,23.17,23.35,23.81,24.58,24.64
T2M,2019,26.43,29.0,30.29,30.29,27.36,22.98,22.02,21.81,22.29,22.93,22.91,22.46,25.04
T2M,2020,23.01,26.36,29.4,28.97,24.92,22.72,21.23,21.4,22.23,23.22,22.6,22.98,24.07
T2M,2021,24.64,25.83,30.0,29.36,25.31,23.27,21.37,21.9,22.17,23.09,23.31,22.99,24.42
T2M_MAX,2018,34.44,38.6,39.68,38.86,39.05,29.91,27.13,28.27,30.87,30.23,32.49,34.68,39.68
T2M_MAX,2019,38.52,39.2,41.77,41.54,38.39,32.24,28.7,28.7,29.17,28.92,29.79,32.18,41.77
T2M_MAX,2020,34.61,38.72,40.02,40.76,35.01,30.72,27.53,26.75,29.14,29.41,30.05,32.28,40.76
T2M_MAX,2021,34.75,37.11,40.35,40.62,35.4,32.55,26.78,27.88,29.69,30.32,30.65,31.94,40.62
T2M_MIN,2018,13.83,17.38,17.29,18.92,18.35,17.86,17.42,17.3,17.6,17.94,16.75,16.76,13.83
T2M_MIN,2019,16.58,17.99,19.66,20.69,19.31,18.01,17.4,17.29,18.02,17.9,15.83,14.72,14.72
T2M_MIN,2020,12.95,16.1,18.68,19.75,19.36,17.62,17.41,17.1,18.16,17.46,15.33,14.92,12.95
T2M_MIN,2021,15.85,14.73,19.59,19.72,18.79,17.83,17.02,17.15,16.43,17.11,16.42,14.71,14.71
