PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1991,0.35,0.48,2.71,2.49,3.62,8.6,11.22,11.32,8.11,0.91,0.16,0.79,4.25
PRECTOTCORR,1992,0.55,1.87,1.22,4.73,5.71,14.01,11.51,17.4,6.33,5.63,1.12,0.45,5.89
PRECTOTCORR,1993,1.17,1.34,1.7,5.84,6.17,19.56,12.76,15.02,10.2,4.33,0.26,0.06,6.55
PRECTOTCORR,1994,0.01,0.6,1.94,3.81,5.76,12.15,14.64,13.8,11.55,0.33,0.48,0.18,5.46
PRECTOTCORR,1995,0.01,1.08,1.75,3.54,6.18,11.61,10.94,12.21,8.13,1.15,0.3,1.92,4.92
PRECTOTCORR,1996,1.96,0.5,3.99,3.8,10.11,14.77,19.53,15.61,12.34,2.37,1.12,0.28,7.23
PRECTOTCORR,1997,1.08,0.07,1.86,4.98,8.28,13.45,7.91,11.74,7.79,6.99,2.37,0.32,5.6
PRECTOTCORR,1998,0.83,0.79,1.15,1.38,5.99,9.39,15.56,14.01,10.34,9.56,1.4,0.02,5.91
PRECTOTCORR,1999,0.99,0.22,0.16,2.4,9.28,9.63,9.12,9.63,7.73,8.65,0.12,0.26,4.89
PRECTOTCORR,2000,0.05,0.02,0.43,3.57,5.24,7.15,9.25,8.25,7.27,3.53,1.1,0.33,3.86
PRECTOTCORR,2001,0.34,0.61,1.98,1.01,3.77,5.57,5.95,7.27,4.42,1.74,1.09,0.06,2.83
PRECTOTCORR,2002,1.13,0.16,2.57,2.56,1.79,5.06,4.25,5.93,5.32,0.81,0.19,0.52,2.54
PRECTOTCORR,2003,0.2,0.77,2.08,0.75,1.18,5.95,5.05,8.63,6.36,0.45,0.64,0.84,2.75
PRECTOTCORR,2004,0.16,0.29,0.32,2.43,2.66,5.68,7.04,7.04,6.59,1.96,0.99,1.05,3.02
PRECTOTCORR,2005,0.66,0.24,2.55,3.03,5.29,6.96,8.77,7.32,6.5,2.11,0.44,0.0,3.68
PRECTOTCORR,2006,0.32,1.38,2.44,1.72,6.13,11.91,14.55,12.46,10.04,5.6,1.16,1.15,5.77
PRECTOTCORR,2007,0.75,1.89,2.04,3.24,7.7,9.56,14.71,13.75,9.65,1.81,0.69,0.02,5.51
PRECTOTCORR,2008,0.78,0.16,0.44,2.93,8.37,9.07,13.4,11.85,8.24,4.21,3.25,0.37,5.28
PRECTOTCORR,2009,1.27,1.03,1.91,5.63,3.71,8.09,9.96,11.35,10.33,6.06,0.28,0.91,5.07
PRECTOTCORR,2010,0.25,1.22,1.07,2.27,11.49,17.02,12.99,11.92,14.29,3.16,1.89,0.71,6.54
PRECTOTCORR,2011,0.62,0.37,1.18,2.04,8.46,12.88,6.53,6.28,7.08,0.85,2.15,0.2,4.06
PRECTOTCORR,2012,0.06,0.01,1.33,2.81,4.71,7.28,10.56,13.43,11.53,1.01,1.32,0.57,4.56
PRECTOTCORR,2013,0.59,0.52,1.98,2.34,13.7,14.66,15.1,11.9,9.07,4.72,2.51,0.04,6.47
PRECTOTCORR,2014,0.32,0.42,2.66,6.66,10.5,12.32,11.9,11.88,14.44,8.57,1.08,1.28,6.87
PRECTOTCORR,2015,0.13,0.55,1.74,0.81,7.76,11.52,12.89,13.49,7.94,1.63,2.73,1.76,5.28
PRECTOTCORR,2016,0.22,0.9,1.44,3.05,9.05,6.79,11.56,19.59,16.23,2.44,0.51,0.14,6.01
PRECTOTCORR,2017,0.0,2.85,2.54,3.58,10.29,9.65,14.63,11.21,9.73,2.96,0.35,0.05,5.67
PRECTOTCORR,2018,0.05,2.11,0.55,1.78,5.25,8.49,8.73,9.7,5.11,2.46,2.34,0.23,3.91
PRECTOTCORR,2019,0.0,0.91,2.28,7.32,3.68,9.62,8.8,13.06,19.08,3.26,4.07,0.21,6.02
PRECTOTCORR,2020,0.33,0.73,1.51,3.45,6.52,14.39,14.97,10.61,13.89,3.51,1.35,0.51,5.98
PRECTOTCORR,2021,2.83,1.0,0.55,5.6,8.3,8.01,12.36,13.77,11.47,6.14,1.87,0.55,6.07
PRECTOTCORR,2022,1.57,0.74,0.75,3.7,2.76,7.45,14.54,7.3,11.39,3.06,0.68,1.12,4.61
PRECTOTCORR,2023,0.28,0.41,1.88,5.33,6.36,14.49,14.24,12.54,9.66,4.44,4.55,0.21,6.22
PRECTOTCORR,2024,0.5,2.43,1.42,2.04,2.49,10.7,15.91,9.38,11.46,3.7,1.25,0.15,5.12
T2M,1991,20.51,21.64,21.92,22.28,22.19,19.39,17.29,17.4,18.08,17.93,17.38,17.89,19.48
T2M,1992,19.64,20.2,22.96,22.12,20.76,18.31,16.88,16.74,17.47,17.83,17.2,18.23,19.02
T2M,1993,18.66,19.62,21.91,20.34,19.73,17.83,16.76,17.46,17.85,17.98,17.85,17.48,18.62
T2M,1994,19.14,20.75,22.31,22.89,20.46,17.86,16.81,16.85,17.73,18.11,17.93,18.28,19.08
T2M,1995,19.75,21.18,22.3,22.38,20.74,19.41,17.11,17.35,18.26,18.56,17.66,18.48,19.42
T2M,1996,19.18,21.17,21.79,21.07,19.42,17.85,16.96,17.24,17.83,18.11,17.51,17.51,18.79
T2M,1997,19.35,20.88,22.55,20.64,19.76,18.53,17.43,17.74,18.84,18.05,18.43,18.7,19.23
T2M,1998,19.43,20.71,22.63,24.35,21.2,18.62,17.05,17.33,17.65,17.77,17.09,16.44,19.17
T2M,1999,18.52,20.84,22.92,23.3,19.45,18.08,16.27,17.13,17.71,17.32,16.59,17.34,18.77
