PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2018,0.05,2.11,0.55,1.78,5.25,8.49,8.73,9.7,5.11,2.46,2.34,0.23,3.91
PRECTOTCORR,2019,0.0,0.91,2.28,7.32,3.68,9.62,8.8,13.06,19.08,3.26,4.07,0.21,6.02
PRECTOTCORR,2020,0.33,0.73,1.51,3.45,6.52,14.39,14.97,10.61,13.89,3.51,1.35,0.51,5.98
PRECTOTCORR,2021,2.83,1.0,0.55,5.6,8.3,8.01,12.36,13.77,11.47,6.14,1.87,0.55,6.07
RH2M,2018,58.48,55.0,46.0,49.81,70.13,86.31,87.02,86.39,79.32,74.81,70.99,65.46,69.23
RH2M,2019,42.58,48.96,55.03,70.17,66.96,85.16,86.93,86.74,86.77,74.89,77.31,72.86,71.28
RH2M,2020,65.55,59.07,56.27,58.9,72.35,85.79,88.68,89.2,85.79,74.23,68.44,64.13,72.41
RH2M,2021,63.78,60.38,45.41,60.17,77.5,80.57,88.12,86.51,86.09,76.52,68.3,66.68,71.74
T2M,2018,19.24,21.38,22.47,22.68,21.07,17.94,17.29,17.55,18.82,18.78,18.31,19.01,19.53
T2M,2019,20.02,22.82,23.6,21.65,22.04,18.78,17.81,17.64,18.22,18.71,18.53,18.43,19.84
T2M,2020,19.38,21.88,22.4,22.89,21.17,18.51,17.24,17.45,18.29,18.47,17.8,17.8,19.43
T2M,2021,18.29,20.25,23.09,21.85,19.74,19.32,17.29,17.89,18.2,18.47,18.26,18.26,19.23
T2M_MAX,2018,29.71,32.5,34.0,33.49,33.92,24.71,23.77,24.3,25.57,25.49,25.97,28.41,34.0
T2M_MAX,2019,32.22,33.22,33.33,30.75,33.42,26.07,24.3,23.77,23.85,25.71,25.52,25.85,33.42
T2M_MAX,2020,29.2,33.78,33.63,35.19,31.53,25.55,23.38,23.31,24.69,25.14,24.95,26.68,35.19
T2M_MAX,2021,28.04,30.47,34.04,34.32,28.35,28.68,23.59,24.24,24.84,25.05,25.58,27.41,34.32
T2M_MIN,2018,9.09,9.19,11.26,13.81,14.17,13.02,12.61,12.68,11.47,10.03,6.97,9.26,6.97
T2M_MIN,2019,6.65,11.19,13.7,13.76,13.73,14.45,13.2,12.43,13.08,8.75,10.78,9.0,6.65
T2M_MIN,2020,9.65,12.27,10.26,13.85,14.01,13.83,13.22,13.07,12.33,9.52,7.52,7.27,7.27
T2M_MIN,2021,7.7,9.47,10.65,10.75,12.43,13.12,12.97,12.51,13.06,8.74,8.75,5.41,5.41
