rG,h2,taskA_naive_mean,taskA_naive_se,taskA_mt_mean,taskA_mt_se,taskA_rn_mean,taskA_rn_se,taskB_single_mean,taskB_single_se,taskB_mt_mean,taskB_mt_se
0.2,0.2,0.1465,0.0066,0.1912,0.012,0.1447,0.0139,0.5137,0.0076,0.519,0.0077
0.2,0.4,0.2019,0.0073,0.2312,0.0104,0.1697,0.0134,0.6284,0.0066,0.6324,0.0064
0.2,0.6,0.2405,0.0079,0.2558,0.0096,0.1839,0.013,0.7038,0.0055,0.7066,0.0053
0.4,0.2,0.2867,0.0073,0.3674,0.0118,0.3314,0.0126,0.5154,0.008,0.5401,0.0082
0.4,0.4,0.3825,0.0076,0.4302,0.0098,0.3723,0.0118,0.6303,0.0067,0.6472,0.0062
0.4,0.6,0.4437,0.0077,0.4668,0.0088,0.3886,0.0115,0.7056,0.0054,0.7167,0.005
0.6,0.2,0.4165,0.0076,0.5198,0.0108,0.5022,0.0111,0.5167,0.009,0.5716,0.0091
0.6,0.4,0.5416,0.0071,0.5978,0.0083,0.5647,0.0095,0.6319,0.0071,0.669,0.0064
0.6,0.6,0.6164,0.0066,0.642,0.0072,0.5904,0.0094,0.707,0.0058,0.7314,0.0052
0.8,0.2,0.5375,0.0072,0.6558,0.009,0.6512,0.009,0.5171,0.0106,0.6127,0.0097
0.8,0.4,0.6846,0.0058,0.7447,0.0062,0.735,0.0064,0.6326,0.0081,0.6992,0.0068
0.8,0.6,0.7679,0.0047,0.7939,0.0048,0.7767,0.0056,0.7078,0.0065,0.7525,0.0057
